Day_Index,Date_Range,Segment,Sessions
10/1/15,"Oct 1, 2015 - Jan 23, 2017",New Users,46
10/1/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,36
10/2/15,"Oct 1, 2015 - Jan 23, 2017",New Users,44
10/2/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,21
10/3/15,"Oct 1, 2015 - Jan 23, 2017",New Users,12
10/3/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,15
10/4/15,"Oct 1, 2015 - Jan 23, 2017",New Users,21
10/4/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,11
10/5/15,"Oct 1, 2015 - Jan 23, 2017",New Users,69
10/5/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,19
10/6/15,"Oct 1, 2015 - Jan 23, 2017",New Users,64
10/6/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,23
10/7/15,"Oct 1, 2015 - Jan 23, 2017",New Users,56
10/7/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,28
10/8/15,"Oct 1, 2015 - Jan 23, 2017",New Users,54
10/8/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,29
10/9/15,"Oct 1, 2015 - Jan 23, 2017",New Users,46
10/9/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,25
10/10/15,"Oct 1, 2015 - Jan 23, 2017",New Users,20
10/10/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,11
10/11/15,"Oct 1, 2015 - Jan 23, 2017",New Users,26
10/11/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,16
10/12/15,"Oct 1, 2015 - Jan 23, 2017",New Users,67
10/12/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,36
10/13/15,"Oct 1, 2015 - Jan 23, 2017",New Users,55
10/13/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,35
10/14/15,"Oct 1, 2015 - Jan 23, 2017",New Users,46
10/14/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,38
10/15/15,"Oct 1, 2015 - Jan 23, 2017",New Users,78
10/15/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,17
10/16/15,"Oct 1, 2015 - Jan 23, 2017",New Users,60
10/16/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,39
10/17/15,"Oct 1, 2015 - Jan 23, 2017",New Users,20
10/17/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,10
10/18/15,"Oct 1, 2015 - Jan 23, 2017",New Users,33
10/18/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,13
10/19/15,"Oct 1, 2015 - Jan 23, 2017",New Users,58
10/19/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,35
10/20/15,"Oct 1, 2015 - Jan 23, 2017",New Users,61
10/20/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,26
10/21/15,"Oct 1, 2015 - Jan 23, 2017",New Users,58
10/21/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,32
10/22/15,"Oct 1, 2015 - Jan 23, 2017",New Users,71
10/22/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,30
10/23/15,"Oct 1, 2015 - Jan 23, 2017",New Users,53
10/23/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,22
10/24/15,"Oct 1, 2015 - Jan 23, 2017",New Users,25
10/24/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,6
10/25/15,"Oct 1, 2015 - Jan 23, 2017",New Users,25
10/25/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,13
10/26/15,"Oct 1, 2015 - Jan 23, 2017",New Users,71
10/26/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,35
10/27/15,"Oct 1, 2015 - Jan 23, 2017",New Users,77
10/27/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,36
10/28/15,"Oct 1, 2015 - Jan 23, 2017",New Users,59
10/28/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,32
10/29/15,"Oct 1, 2015 - Jan 23, 2017",New Users,75
10/29/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,53
10/30/15,"Oct 1, 2015 - Jan 23, 2017",New Users,37
10/30/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,19
10/31/15,"Oct 1, 2015 - Jan 23, 2017",New Users,20
10/31/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,19
11/1/15,"Oct 1, 2015 - Jan 23, 2017",New Users,33
11/1/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,13
11/2/15,"Oct 1, 2015 - Jan 23, 2017",New Users,53
11/2/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,25
11/3/15,"Oct 1, 2015 - Jan 23, 2017",New Users,51
11/3/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,37
11/4/15,"Oct 1, 2015 - Jan 23, 2017",New Users,83
11/4/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,38
11/5/15,"Oct 1, 2015 - Jan 23, 2017",New Users,61
11/5/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,36
11/6/15,"Oct 1, 2015 - Jan 23, 2017",New Users,46
11/6/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,33
11/7/15,"Oct 1, 2015 - Jan 23, 2017",New Users,31
11/7/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,14
11/8/15,"Oct 1, 2015 - Jan 23, 2017",New Users,42
11/8/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,31
11/9/15,"Oct 1, 2015 - Jan 23, 2017",New Users,80
11/9/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,40
11/10/15,"Oct 1, 2015 - Jan 23, 2017",New Users,74
11/10/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,32
11/11/15,"Oct 1, 2015 - Jan 23, 2017",New Users,67
11/11/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,44
11/12/15,"Oct 1, 2015 - Jan 23, 2017",New Users,55
11/12/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,40
11/13/15,"Oct 1, 2015 - Jan 23, 2017",New Users,66
11/13/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,44
11/14/15,"Oct 1, 2015 - Jan 23, 2017",New Users,26
11/14/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,16
11/15/15,"Oct 1, 2015 - Jan 23, 2017",New Users,44
11/15/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,28
11/16/15,"Oct 1, 2015 - Jan 23, 2017",New Users,59
11/16/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,54
11/17/15,"Oct 1, 2015 - Jan 23, 2017",New Users,74
11/17/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,46
11/18/15,"Oct 1, 2015 - Jan 23, 2017",New Users,82
11/18/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,43
11/19/15,"Oct 1, 2015 - Jan 23, 2017",New Users,59
11/19/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,36
11/20/15,"Oct 1, 2015 - Jan 23, 2017",New Users,50
11/20/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,33
